Abuja Nigeria
Accra Ghana
Akron Ohio
Albania Albanian
Algeria dinar
Algiers Algeria
Amarillo Texas
Amman Jordan
Anaheim California
Anchorage Alaska
Angola kwanza
Ankara Turkey
Antananarivo Madagascar
Apia Samoa
Argentina Argentinean
Argentina peso
Arlington Texas
Armenia dram
Ashgabat Turkmenistan
Asmara Eritrea
Astana Kazakhstan
Athens Greece
Atlanta Georgia
Austin Texas
Australia Australian
Austria Austrian
Baghdad Iraq
Bakersfield California
Baku Azerbaijan
Baltimore Maryland
Bamako Mali
Bangkok Thailand
Banjul Gambia
Beijing China
Beirut Lebanon
Belarus Belorussian
Belgrade Serbia
Belmopan Belize
Berlin Germany
Bern Switzerland
Bishkek Kyrgyzstan
Boston Massachusetts
Bratislava Slovakia
Brazil Brazilian
Brazil real
Brussels Belgium
Bucharest Romania
Budapest Hungary
Bujumbura Burundi
Bulgaria Bulgarian
Bulgaria lev
Cairo Egypt
Cambodia Cambodian
Cambodia riel
Canada dollar
Canberra Australia
Caracas Venezuela
Chandler Arizona
Chicago Illinois
Chile Chilean
China Chinese
Chisinau Moldova
Cincinnati Ohio
Cleveland Ohio
Colombia Colombian
Conakry Guinea
Copenhagen Denmark
Croatia Croatian
Croatia kuna
Dakar Senegal
Dallas Texas
Damascus Syria
Denmark Danish
Denmark krone
Denver Colorado
Detroit Michigan
Dhaka Bangladesh
Doha Qatar
Dublin Ireland
Dushanbe Tajikistan
Egypt Egyptian
England English
Europe euro
Fontana California
France French
Fremont California
Fresno California
Funafuti Tuvalu
Gaborone Botswana
Garland Texas
Georgetown Guyana
Germany German
Glendale Arizona
Glendale California
Greece Greek
Hanoi Vietnam
Harare Zimbabwe
Havana Cuba
Helsinki Finland
Henderson Nevada
Hialeah Florida
Honolulu Hawaii
Houston Texas
Hungary forint
Huntsville Alabama
Iceland Icelandic
India Indian
India rupee
Indianapolis Indiana
Iran rial
Ireland Irish
Irvine California
Irving Texas
Islamabad Pakistan
Israel Israeli
Italy Italian
Jacksonville Florida
Jakarta Indonesia
Japan Japanese
Japan yen
Kabul Afghanistan
Kampala Uganda
Kathmandu Nepal
Khartoum Sudan
Kiev Ukraine
Kigali Rwanda
Kingston Jamaica
Korea Korean
Korea won
Laredo Texas
Latvia lats
Lexington Kentucky
Libreville Gabon
Lilongwe Malawi
Lima Peru
Lisbon Portugal
Lithuania litas
Ljubljana Slovenia
London England
Louisville Kentucky
Luanda Angola
Lubbock Texas
Lusaka Zambia
Macedonia Macedonian
Macedonia denar
Madison Wisconsin
Madrid Spain
Malaysia ringgit
Malta Maltese
Managua Nicaragua
Manama Bahrain
Manila Philippines
Maputo Mozambique
Memphis Tennessee
Mesa Arizona
Mexico Mexican
Mexico peso
Miami Florida
Milwaukee Wisconsin
Minneapolis Minnesota
Minsk Belarus
Modesto California
Mogadishu Somalia
Moldova Moldovan
Monrovia Liberia
Montevideo Uruguay
Moscow Russia
